ProductID,ProductName,Color,ListPrice
317,LL Crankarm,Black,0
318,ML Crankarm,Black,0
319,HL Crankarm,Black,0
322,Chainring,Black,0
782,Mountain-200 Black, 38,Black,2294.99
783,Mountain-200 Black, 42,Black,2294.99
784,Mountain-200 Black, 46,Black,2294.99
785,Mountain-300 Black, 38,Black,1079.99
786,Mountain-300 Black, 40,Black,1079.99
787,Mountain-300 Black, 44,Black,1079.99
788,Mountain-300 Black, 48,Black,1079.99
789,Road-250 Red, 44,Red,2443.35
790,Road-250 Red, 48,Red,2443.35
791,Road-250 Red, 52,Red,2443.35
792,Road-250 Red, 58,Red,2443.35
793,Road-250 Black, 44,Black,2443.35
794,Road-250 Black, 48,Black,2443.35
795,Road-250 Black, 52,Black,2443.35
796,Road-250 Black, 58,Black,2443.35
814,ML Mountain Frame - Black, 38,Black,348.76
815,LL Mountain Front Wheel,Black,60.745
816,ML Mountain Front Wheel,Black,209.025
817,HL Mountain Front Wheel,Black,300.215
818,LL Road Front Wheel,Black,85.565
819,ML Road Front Wheel,Black,248.385
820,HL Road Front Wheel,Black,330.06
821,Touring Front Wheel,Black,218.01
823,LL Mountain Rear Wheel,Black,87.745
824,ML Mountain Rear Wheel,Black,236.025
825,HL Mountain Rear Wheel,Black,327.215
826,LL Road Rear Wheel,Black,112.565
827,ML Road Rear Wheel,Black,275.385
828,HL Road Rear Wheel,Black,357.06
829,Touring Rear Wheel,Black,245.01
830,ML Mountain Frame - Black, 40,Black,348.76
831,ML Mountain Frame - Black, 44,Black,348.76
832,ML Mountain Frame - Black, 48,Black,348.76
837,HL Road Frame - Black, 62,Black,1431.5
838,HL Road Frame - Black, 44,Black,1431.5
839,HL Road Frame - Black, 48,Black,1431.5
840,HL Road Frame - Black, 52,Black,1431.5
841,Men's Sports Shorts, S,Black,59.99
849,Men's Sports Shorts, M,Black,59.99
850,Men's Sports Shorts, L,Black,59.99
851,Men's Sports Shorts, XL,Black,59.99
852,Women's Tights, S,Black,74.99
853,Women's Tights, M,Black,74.99
854,Women's Tights, L,Black,74.99
858,Half-Finger Gloves, S,Black,24.49
859,Half-Finger Gloves, M,Black,24.49
860,Half-Finger Gloves, L,Black,24.49
861,Full-Finger Gloves, S,Black,37.99
862,Full-Finger Gloves, M,Black,37.99
863,Full-Finger Gloves, L,Black,37.99
867,Women's Mountain Shorts, S,Black,69.99
868,Women's Mountain Shorts, M,Black,69.99
869,Women's Mountain Shorts, L,Black,69.99
924,LL Mountain Frame - Black, 42,Black,249.79
925,LL Mountain Frame - Black, 44,Black,249.79
926,LL Mountain Frame - Black, 48,Black,249.79
927,LL Mountain Frame - Black, 52,Black,249.79
943,LL Mountain Frame - Black, 40,Black,249.79
949,LL Crankset,Black,175.49
950,ML Crankset,Black,256.49
951,HL Crankset,Black,404.99
977,Road-750 Black, 58,Black,539.99
989,Mountain-500 Black, 40,Black,539.99
990,Mountain-500 Black, 42,Black,539.99
991,Mountain-500 Black, 44,Black,539.99
992,Mountain-500 Black, 48,Black,539.99
993,Mountain-500 Black, 52,Black,539.99
997,Road-750 Black, 44,Black,539.99
998,Road-750 Black, 48,Black,539.99
999,Road-750 Black, 52,Black,539.99
